date,close,high,low,open,volume
2021-01-04,26.40782928466797,26.439684650461754,25.908767288002682,25.951240028906923,24563188
2021-01-05,26.460922241210938,26.471541237042317,26.28041065369645,26.375975135253743,18926280
2021-01-06,26.747615814208984,27.002457117866253,26.354737293830787,26.77947117969504,42348292
2021-01-07,27.374095916748047,27.395333905883216,26.875035576693374,26.875035576693374,26764652
2021-01-08,27.8625431060791,27.87316210163889,27.512138935843492,27.7351248807491,51960980
2021-01-11,28.096147537231445,28.096147537231445,27.713886387245914,27.862542601000726,40583424
2021-01-12,28.053672790527344,28.2766554749862,27.947489325370864,28.096145528497498,43497448
2021-01-13,28.733243942260742,28.765097682987466,28.181088672943396,28.191707666672947,42755604
2021-01-14,28.46778678894043,28.680153712781145,28.319130590344347,28.669534718496692,48001796
2021-01-15,28.563352584838867,29.306636852845827,28.542114595282342,29.126123663002094,86095908
2021-01-18,28.542116165161133,28.658918633221926,28.053674783118158,28.584592146610458,56811080
2021-01-19,29.296016693115234,29.32787367618323,28.712007648618524,28.712007648618524,48277244
2021-01-20,29.34910774230957,29.625185386838464,29.232305288032492,29.327872994553218,119861744
2021-01-21,30.36847496032715,30.42156669976828,29.38096990290715,29.39158565842529,54689548
2021-01-22,29.825979232788086,30.16232233834592,29.294341839400715,29.98872557634031,95071252
2021-01-25,29.424541473388672,29.79343253870323,29.12074629936029,29.771731700885855,55002504
2021-01-26,28.827808380126953,29.64154023152967,28.599962799517517,29.413694650920235,57505908
2021-01-27,28.87120246887207,29.16414390528874,28.697605704097622,28.9254512509214,31419364
2021-01-28,28.28531837463379,28.491463099434352,28.079170338750092,28.209368749720518,58015204
2021-01-29,27.81877899169922,28.61081331638976,27.81877899169922,28.556564526113014,56158664
2021-02-01,28.372116088867188,28.415514456996796,27.677732265543682,27.818777789735726,56531932
2021-02-02,29.174997329711914,29.305195744477352,28.75185744834908,28.75185744834908,43553492
2021-02-03,29.15329933166504,29.40284242634838,29.120748072956445,29.391992006778846,28327880
2021-02-04,28.97970199584961,29.196697138744653,28.71930848659218,28.947150737765487,26233916
2021-02-05,29.250946044921875,29.5764387606048,29.120747634215455,29.250946044921875,35199004
2021-02-17,30.498672485351562,30.563771700018947,30.16232930213976,30.16232930213976,75622784
2021-02-18,30.455276489257812,30.65057083741666,30.29253009543082,30.498674865394904,41912192
